,_arpt_ident,_name,_state_prov,_icao,_faa_host_id,_loc_hdatum,_wgs_datum,_wgs_lat,_wgs_dlat,_wgs_long,_wgs_dlong,_elev,_type,_mag_var,_wac,_beacon,_second_arpt,_opr_agy,_sec_name,_sec_icao,_sec_faa,_sec_opr_agy,_cycle_date,__id
,MX57243,ZAPOPAN,,MMZP,N,WGE,WGE,N20452100,20.755833,W103275500,-103.465278,05333,C,E007370 0105,0590,,,FM,,,,,200504,3994
,US20510,EKALAKA,30,KZ,K97M,WGE,WGE,N45524000,45.877777,W104321500,-104.537500,03503,D,E009164 1210,0267,Y,,MU,,,,,201103,6729
,AE01079,ARZANAH,,OMAR,N,WGE,WGE,N24464990,24.780528,E052333580,52.559944,00015,D,E001403 0105,0547,,,PV,,,,,200410,3
,AE04602,AL HAMRA AUX,,OMAH,N,WGE,WGE,N24042633,24.073981,E052274912,52.463644,00050,D,E001344 0105,0547,,,MI,,,,,200303,4
,US95671,EARL L SMALL JR FIELD STOCKMAR,13,KZ,20GA,WGE,WGE,N33452360,33.756556,W084530623,-84.885064,01110,D,W004131 1210,0409,Y,,PV,,,,,201103,9601
,UP00006,CHERKASY INTL,,UKKE,N,WGE,WGE,N49245605,49.415569,E031594305,31.995292,00375,D,E006477 1210,0233,,,CI,,,,,201103,5442
,AE52272,DUBAI INTL,,OMDB,DXB,WGE,WGE,N25150511,25.251419,E055221402,55.370561,00063,A,E001419 1210,0548,,,CI,,,,,201101,10
,AE37377,ZIRKU,,OMAZ,N,WGE,WGE,N24514155,24.861542,E053044020,53.077833,00014,D,E001374 0105,0548,,,PV,,,,,200411,9
,US05517,EASTSIDE,35,KZ,NM24,WGE,WGE,N36551804,36.921678,W106333712,-106.560311,08030,D,E009259 0211,0361,,,PV,,,,,201103,5951
,AE52385,YAS ISLAND,,OM,OM10,WGE,WGE,N24170238,24.283994,E052344927,52.580353,00025,D,E001355 0105,0547,,,MI,,,,,200405,11
,AE73364,DAS ISLAND,,OMAS,N,WGE,WGE,N25084639,25.146219,E052522536,52.873711,00012,D,E001416 0105,0547,,,PV,,,,,200410,14
,AE95262,ABU DHABI NORTHEAST,,OM,OM11,WGE,WGE,N24310788,24.518856,E054584823,54.980064,00088,D,E001206 0105,0548,,,UN,,,,,200405,17
,AE97915,JEBEL DHANA,,OMAJ,N,WGE,WGE,N24111474,24.187428,E052365040,52.614000,00043,D,E001344 0105,0547,,,PV,,,,,200403,18
,AF00012,MARNAH GHAR,,OA,OA1A,WGE,WGE,N32201737,32.338158,E068562312,68.939756,05558,D,E001570 0105,0431,,,UN,,,,,200406,19
,AF94325,SHEBERGHAN,,OASG,N,WGE,WGE,N36450282,36.750783,E065544739,65.913164,01053,D,E003262 0105,0337,,,UN,,,,,200411,28
,AF94337,KHOST,,OAKS,N,WGE,WGE,N33200037,33.333436,E069570722,69.952006,03756,D,E002093 0105,0431,,,CI,,,,,200410,31
,AG00062,ILLIZI,,DA,DA10,WGE,WGE,N26342484,26.573567,E008290116,8.483656,01778,D,E000178 0105,0540,,,CI,,,,,200405,32
,AG17978,BOUFARIK,,DAAK,N,WGE,WGE,N36324500,36.545833,E002523400,2.876111,00335,C,W000245 0105,0346,,,MI,,,,,200104,38
,AG23554,HAMAGUIR,,DA,DA11,WGE,WGE,N30524441,30.879003,W003040389,-3.067747,02454,D,W002011 0105,0453,,,MI,,,,,200405,39
,AG29202,BOU SFER,,DAOE,N,WGE,WGE,N35440740,35.735389,W000481940,-0.805389,00187,C,W001210 0105,0421,Y,,MI,,,,,200111,42
,AG29602,EL ABIODH SIDI CHEIKH,,DA,DA12,WGE,WGE,N32535470,32.898528,E000312890,0.524694,02965,D,W001009 0105,0421,,,CI,,,,,200405,43
,AG30555,LAGHOUAT,,DAUL,N,WGE,WGE,N33455049,33.764025,E002553827,2.927297,02510,C,W000254 0105,0421,,,MI,,,,,200108,44
,AG32594,HASSI R MEL,,DAFH,N,WGE,WGE,N32554955,32.930431,E003184155,3.311542,02540,D,W000213 0105,0421,,,CI,,,,,200404,46
,AG33600,TAFARAOUI,,DAOL,N,WGE,WGE,N35323280,35.542444,W000315620,-0.532278,00367,C,W001164 0105,0421,,,MI,,,,,200111,47
,AE56787,FUJAIRAH INTL,,OMFJ,N,WGE,WGE,N25064362,25.112117,E056192718,56.324217,00153,A,E001342 0111,0548,Y,,CI,,,,,201013,12
,US67472,CAPITOL,55,KZ,K02C,WGE,WGE,N43051504,43.087511,W088104033,-88.177869,00850,A,W003184 1210,0308,Y,,PA,,,,,201103,8510
,AE76816,AL BATEEN INTL,,OMAD,N,WGE,WGE,N24254239,24.428442,E054272893,54.458036,00016,B,E001397 1210,0548,,,ML,,,,,201011,15
,AE80711,AL AIN INTL,,OMAL,N,WGE,WGE,N24154210,24.261694,E055363297,55.609158,00869,A,E001300 1210,0548,,,CI,,,,,201001,16
,AF28606,HERAT,,OAHR,N,WGE,WGE,N34122799,34.207775,E062134076,62.227989,03290,D,E003090 0211,0430,,,ML,,,,,201103,20
,AF39176,MAZAR E SHARIF,,OAMS,N,WGE,WGE,N36422391,36.706642,E067124614,67.212817,01282,B,E003337 1210,0336,,,ML,,,,,201101,21
,AF75939,SHINDAND,,OASD,N,WGE,WGE,N33232882,33.391339,E062153967,62.261019,03775,D,E002547 1210,0430,,,AF,,,,,201103,24
,AF87064,JALALABAD,,OAJL,N,WGE,WGE,N34235982,34.399950,E070295443,70.498453,01840,C,E002375 1210,0431,,,MI,,,,,201009,25
,AF92944,KONDUZ,,OAUZ,N,WGE,WGE,N36395440,36.665111,E068543898,68.910828,01480,D,E003252 1210,0336,Y,,ML,,,,,201101,26
,AF50693,BAGRAM,,OAIX,OAI,WGE,WGE,N34564489,34.945803,E069155731,69.265919,04895,C,E002524 0211,0431,Y,,AF,,,,,201101,22
,AF94326,MAIMANA,,OAMN,N,WGE,WGE,N35554873,35.930203,E064454248,64.761800,02767,D,E003293 1210,0430,,,MI,,,,,201103,29
,AF94330,TEREEN,,OATN,N,WGE,WGE,N32361336,32.603711,E065515969,65.866581,04479,C,E002269 1210,0430,,,MI,,,,,201012,30
,AG03193,SOUMMAM ABANE RAMDANE,,DAAE,N,WGE,WGE,N36424319,36.711997,E005041172,5.069922,00020,A,E000414 1210,0345,,,CI,,,,,201008,33
,AG10462,RABAH BITAT,,DABB,N,WGE,WGE,N36492000,36.822222,E007483400,7.809444,00016,A,E001143 1210,0345,,,CI,,,,,201008,34
,AG12605,ZENATA MESSALI EL HADJ,,DAON,N,WGE,WGE,N35004827,35.013408,W001272579,-1.457164,00814,A,W000523 1210,0421,,,CI,,,,,201008,35
,AG14643,TISKA,,DAAJ,N,WGE,WGE,N24173396,24.292767,E009270880,9.452444,03169,A,E000465 1210,0540,Y,,CI,,,,,201008,36
,AG16901,BOUDGHENE BEN ALI LOTFI,,DAOR,N,WGE,WGE,N31384468,31.645744,W002161150,-2.269861,02661,B,W001087 1210,0453,Y,,ML,,,,,201008,37
,AG27206,AGUENAR,,DAAT,N,WGE,WGE,N22484000,22.811111,E005270300,5.450833,04518,A,W000023 1210,0572,,,CI,,,,,201101,40
,AG28442,TAKHAMALT,,DAAP,N,WGE,WGE,N26432486,26.723572,E008372143,8.622619,01778,A,E000504 1210,0540,,,CI,,,,,201012,41
,AG30577,AIN BEIDA,,DAUU,N,WGE,WGE,N31550200,31.917223,E005244600,5.412778,00499,B,E000363 1210,0452,Y,,ML,,,,,201013,45
,AG42199,CHLEF,,DAOI,N,WGE,WGE,N36125215,36.214486,E001200684,1.335233,00463,C,W000095 1210,0346,,,MI,,,,,201103,48
,CO37575,MELGAR AB,,SKME,N,WGE,WGE,N04125919,4.216442,W074380617,-74.635047,01063,C,W005510 1210,0829,,,MI,,,,,201009,2020
,EG03373,HURGHADA INTL,,HEGN,N,WGE,WGE,N27104284,27.178567,E033480353,33.800981,00052,A,E003394 1210,0544,Y,,CI,,,,,201001,2232
,US04662,SHURLEY FLD,05,KZ,4AR1,WGE,WGE,N35022856,35.041267,W092060366,-92.101017,00430,D,E000503 1210,0408,,,PV,,,,,201103,5873
,US20533,COLUMBIA,06,KZ,KO22,WGE,WGE,N38014954,38.030428,W120245239,-120.414554,02120,D,E013570 1210,0363,Y,,PA,,,,,201013,6730
,US20680,ALLENTOWN QUEEN CITY MUNI,42,KZ,KXLL,WGE,WGE,N40341300,40.570278,W075291790,-75.488306,00399,A,W012121 1210,0310,Y,,PA,,,,,201101,6731
,AG47849,TINFOUCHY,,DA,DA13,WGE,WGE,N28524556,28.879322,W005492244,-5.822900,01804,D,W002543 0105,0453,,,MI,,,,,200405,51
,AG51688,RELIZANE,,DAAZ,N,WGE,WGE,N35450806,35.752239,E000373458,0.626272,00282,D,W000581 0105,0421,,,CI,,,,,200111,52
,US20684,ELLSWORTH MUNI,20,KZ,K9K7,WGE,WGE,N38450144,38.750400,W098134539,-98.229275,01615,D,E004544 1210,0360,Y,,MU,,,,,201010,6732
,US20706,LAS CRUCES INTL,35,KLRU,LRU,WGE,WGE,N32172190,32.289417,W106551910,-106.921972,04456,D,E009050 1210,0406,Y,,PA,,,,,201013,6733
,US20730,GRASSY MEADOWS SKY RANCH,49,KZ,UT47,WGE,WGE,N37060694,37.101929,W113184982,-113.313840,03350,D,E012014 1210,0362,,,PV,,,,,201001,6734
,AG58525,MOSTAGANEM,,DA,DA14,WGE,WGE,N35543170,35.908806,E000085778,0.149383,00732,D,W001056 0105,0421,,,CI,,,,,200405,56
,US20731,OKEECHOBEE CO,12,KZ,KOBE,WGE,WGE,N27155967,27.266575,W080510140,-80.850389,00034,D,W005521 1210,0525,Y,,PA,,,,,201013,6735
,US20753,PITTSFIELD MUNI,25,KZ,KPSF,WGE,WGE,N42253665,42.426847,W073173454,-73.292928,01194,A,W014007 1210,0310,Y,,PA,,,,,201002,6736
,US20775,CARUTHERSVILLE MEM,29,KZ,KM05,WGE,WGE,N36100880,36.169111,W089403530,-89.676472,00268,A,W001023 1210,0359,Y,,PA,,,,,201102,6737
,AG69802,SIDI BEL ABBES,,DAOS,N,WGE,WGE,N35101839,35.171775,W000353579,-0.593275,01614,D,W001173 0105,0421,,,ML,,,,,200112,60
,AG69864,REGGANE,,DAAN,N,WGE,WGE,N26423637,26.710103,E000170833,0.285647,00955,D,W001196 0105,0539,,,ML,,,,,200104,61
,US20783,TACOMA NARROWS,53,KTIW,TIW,WGE,WGE,N47160460,47.267944,W122344120,-122.578111,00294,A,E016459 1210,0269,Y,,PA,,,,,201013,6738
,US20789,SEDONA,04,KZ,KSEZ,WGE,WGE,N34505490,34.848583,W111471840,-111.788444,04830,A,E011093 1210,0405,Y,,PA,,,,,201103,6739
,US20794,DAYTONA BEACH INTL,12,KDAB,DAB,WGE,WGE,N29104770,29.179917,W081032900,-81.058056,00034,A,W006044 1210,0466,Y,,PA,,,,,201102,6740
,AG75759,AIN OUSSERA,,DAAQ,N,WGE,WGE,N35313149,35.525414,E002524337,2.878714,02132,C,W000247 0105,0421,,,MI,,,,,200105,65
,US20814,RONALD REAGAN WASHINGTON NATL,11,KDCA,DCA,WGE,WGE,N38510750,38.852083,W077021580,-77.037722,00015,A,W010464 1210,0357,Y,,PA,,,,,201013,6741
,US20862,LANCASTER RGNL,48,KZ,KLNC,WGE,WGE,N32343937,32.577603,W096430301,-96.717503,00501,D,E004001 1210,0407,Y,,PA,,,,,201103,6742
,US20864,PATUXENT RIVER NAS,24,KNHK,NHK,WGE,WGE,N38170953,38.285981,W076244241,-76.411781,00039,C,W011013 1210,0357,Y,,NA,,,,,201103,6743
,AG83343,BLIDA,,DAAB,N,WGE,WGE,N36301301,36.503614,E002485100,2.814167,00535,C,W000254 0105,0346,,,MI,,,,,200110,69
,US20941,WESTLAKE FARMS,06,KZ,92CA,WGE,WGE,N36071483,36.120786,W119531848,-119.888467,00192,D,E013248 1210,0363,,,PV,,,,,200912,6744
,US20951,PALACIOS MUNI,48,KZ,KPSX,WGE,WGE,N28433900,28.727500,W096150340,-96.250944,00014,A,E003480 0111,0469,Y,,PA,,,,,201103,6745
,US21039,MT AIRY SURRY CO,37,KZ,KMWK,WGE,WGE,N36273504,36.459733,W080331065,-80.552958,01249,A,W007502 1210,0358,Y,,PA,,,,,201013,6746
,US21040,SPANISH PEAKS,08,KZ,K4V1,WGE,WGE,N37414820,37.696722,W104470639,-104.785108,06050,D,E008410 1210,0361,,,PA,,,,,200906,6747
,AG94193,SAIDA,,DA,DA15,WGE,WGE,N34534990,34.897194,E000090610,0.151694,02444,D,W001055 0105,0421,,,CI,,,,,200405,74
,AG96833,TINDOUF EAST,,DA,DA16,WGE,WGE,N27350932,27.585922,W007300041,-7.500114,01425,D,W003299 0105,0537,,,ML,,,,,200405,75
,US21076,ARKANSAS INTL,05,KBYH,BYH,WGE,WGE,N35575160,35.964333,W089563820,-89.943944,00254,A,W000490 1210,0408,Y,,PA,,,,,200813,6748
,AG99981,MECHERIA,,DAAY,N,WGE,WGE,N33320907,33.535853,W000143247,-0.242353,03855,C,W001122 0105,0421,,,MI,,,,,200110,77
,UY84015,NUEVA HESPERIDES INTL,,SUSO,N,WGE,WGE,S31261853,-31.438481,W057590706,-57.985294,00187,A,W009531 1210,1383,Y,,CI,,,,,201101,9776
,VE00002,MACAGUA,,SV,SV05,WGE,WGE,N08164381,8.278836,W062395434,-62.665094,00229,D,W013510 1210,0772,,,PV,,,,,201102,10602
,AJ00006,DOLLYAR,,UG,UG11,WGE,WGE,N40531544,40.887622,E045572525,45.957014,01099,C,E005266 0105,0325,,,MI,,,,,200405,80
,AJ00009,NASOSNAYA,,UB,UB12,WGE,WGE,N40352969,40.591581,E049332678,49.557439,-0013,C,E005238 0105,0325,,,MI,,,,,200405,81
,AJ00010,STEPANAKERT,,UB,UB13,U,WGE,N39540362,39.901006,E046471165,46.786569,02001,D,E005110 0105,0339,,,MI,,,,,200405,82
,AJ00011,KYURDAMIR,,UB,UB14,U,WGE,N40162492,40.273589,E048094884,48.163567,-0035,C,E005179 0105,0325,,,MI,,,,,200405,83
,VE00018,SINCOR,,SV,SV02,WGE,WGE,N08241595,8.404431,W065005596,-65.015544,00492,D,W012344 1210,0771,,,PV,,,,,201002,10603
,AJ00014,BELOKANY,,UB,UB16,U,WGE,N41451222,41.753394,E046211904,46.355289,00935,D,E005422 0105,0325,,,CI,,,,,200405,85
,AJ00015,AKSTAFA,,UB,UB17,WGE,WGE,N41072201,41.122781,E045252180,45.422722,01079,D,E005297 0105,0325,,,CI,,,,,200405,86
,VE00019,LA ESMERALDA,,SVLE,N,WGE,WGE,N03101987,3.172186,W065322642,-65.540672,00396,C,W011518 0111,0892,,,UN,,,,,201102,10604
,AL00002,KUCOVA,,LAKV,N,WGE,WGE,N40461880,40.771889,E019540680,19.901889,00135,C,E002538 0105,0322,,,MI,,,,,200312,89
,AL00003,GJADER,,LAGJ,N,WGE,WGE,N41534280,41.895222,E019355524,19.598678,00023,D,E002558 0105,0322,,,MI,,,,,200307,90
,AL00005,VLORA,,LAVL,N,WGE,WGE,N40283378,40.476050,E019282704,19.474178,00003,D,E002486 0105,0322,,,MI,,,,,200312,91
,AL00010,KORCE NORTHWEST,,LAKO,N,WGE,WGE,N40384436,40.645656,E020442935,20.741486,00665,D,E003009 0105,0322,,,UN,,,,,200312,92
,AL00011,GJIROKASTER,,LA,LA10,WGE,WGE,N40051440,40.087333,E020091100,20.153056,00666,D,E002531 0105,0322,,,UN,,,,,200405,93
,AM00002,KALININO,,UD,UD19,WGE,WGE,N41025904,41.049733,E044204100,44.344722,04846,D,E005263 0105,0325,,,CI,,,,,200405,94
,VE03037,VALLE DE LA PASCUA,,SVVP,N,WGE,WGE,N09131930,9.222028,W065593690,-65.993583,00410,A,W012046 1210,0771,,,CI,,,,,200904,9809
,AM00004,STEPANAVAN,,UDLS,N,WGE,WGE,N41025442,41.048450,E044201382,44.337172,04836,A,E005262 0105,0325,,,CI,,,,,200312,96
,AM00005,YEREVAN YEGVARD,,UD,UD21,WGE,WGE,N40173056,40.291822,E044340674,44.568539,04501,D,E005148 0105,0325,,,UN,,,,,200405,97
,VE14503,CALABOZO,,SVCL,N,WGE,WGE,N08552876,8.924656,W067250154,-67.417094,00328,D,W011127 1210,0771,,,CI,,,,,200906,9819
,VE16918,CAPITAN MANUEL RIOS GUARICO AIRBASE,,SVCZ,N,WGE,WGE,N09221980,9.372167,W066552276,-66.922989,00525,D,W011329 1210,0771,Y,,MI,,,,,200909,9820
,US21697,NORTHERN MAINE RGNL AT PRESQUE ISLE,23,KPQI,PQI,WGE,WGE,N46412030,46.688972,W068024130,-68.044806,00534,D,W017513 1210,0262,Y,,PA,,,,,201011,6778
,AR15790,MERCEDES,,SATM,N,WGE,WGE,S29132300,-29.223056,W058051700,-58.088056,00344,D,W009501 0105,1383,,,PV,,,,,200404,157
,US22597,ROBERT R WELLS JR,48,KZ,K66R,WGE,WGE,N29382785,29.641069,W096305689,-96.515803,00242,D,E003563 1210,0469,Y,,PA,,,,,201002,6811
,US23045,FOREST CITY MUNI,19,KZ,KFXY,WGE,WGE,N43140512,43.234756,W093372677,-93.624103,01229,D,E001149 1210,0307,Y,,PA,,,,,201013,6828
,AO13271,CAHAMA,,FN,FN17,WGE,WGE,S16141534,-16.237594,E014193637,14.326769,03947,D,W009206 0105,1179,,,UN,,,,,200405,105
,AO34501,LUZAMBA,,FNLZ,N,WGE,WGE,S09065744,-9.115956,E018025764,18.049344,02904,D,W004085 0105,1056,,,CI,,,,,200409,108
,AO44387,XANGONGO,,FNXA,N,WGE,WGE,S16451950,-16.755417,E014575524,14.965344,03635,D,W009263 0105,1179,,,UN,,,,,200313,110
,AO76705,MATALA,,FN,FN18,WGE,WGE,S14433917,-14.727547,E015005042,15.014006,04120,D,W008050 0105,1151,,,MI,,,,,200405,121
,AO91234,CABO LEDO,,FN,FN19,WGE,WGE,S09391098,-9.653050,E013153834,13.260650,00360,D,W006035 0105,1057,,,MI,,,,,200405,122
,AR05987,ALFEREZ ARMANDO RODRIGUEZ,,SATK,N,WGE,WGE,S24431692,-24.721367,W060325581,-60.548836,00426,D,W009293 0105,1315,,,CI,,,,,200413,144
,AR11773,PUERTO DESEADO WEST,,SA,SA19,WGE,WGE,S47431220,-47.720056,W065555650,-65.932361,00269,D,E007306 0105,1586,,,MI,,,,,200405,152
,AO24458,CABINDA,,FNCA,N,WGE,WGE,S05354917,-5.596992,E012111807,12.188353,00066,A,W003486 1210,1027,,,CI,,,,,201008,107
,AO37232,NEGAGE,,FNNG,N,WGE,WGE,S07451586,-7.754406,E015171543,15.287619,04105,D,W003313 1210,1027,,,MI,,,,,201008,109
,AO47362,NAMIBE,,FNMO,N,WGE,WGE,S15154085,-15.261347,E012084789,12.146636,00230,D,W008299 1210,1150,Y,,ML,,,,,201008,111
,AO48917,DUNDO,,FNDU,N,WGE,WGE,S07240321,-7.400892,E020490653,20.818481,02451,D,W001517 1210,1028,,,CI,,,,,201008,113
,AO53493,LOBITO,,FNLB,N,WGE,WGE,S12221618,-12.371161,E013321227,13.536742,00010,C,W006129 1210,1150,,,MI,,,,,201008,114
,AO56820,MALANJE,,FNMA,N,WGE,WGE,S09312985,-9.524958,E016184443,16.312342,03868,D,W003527 1210,1057,,,CI,,,,,201101,115
,AO61048,BENGUELA,,FNBG,N,WGE,WGE,S12363611,-12.610031,E013241303,13.403619,00118,D,W006238 1210,1150,Y,,CI,,,,,201012,116
,AO66547,HUAMBO,,FNHU,N,WGE,WGE,S12483203,-12.808897,E015453828,15.760633,05587,D,W005376 1210,1151,,,CI,,,,,201008,117
,AO73912,ONDJIVA,,FNGI,N,WGE,WGE,S17023647,-17.043464,E015410176,15.683822,03567,D,W008199 1210,1179,,,CI,,,,,201008,118
,AO74616,KUITO,,FNKU,N,WGE,WGE,S12241653,-12.404592,E016565341,16.948169,05618,D,W005011 1210,1151,,,CI,,,,,201008,119
,AO76278,LUBANGO,,FNUB,N,WGE,WGE,S14552904,-14.924733,E013343008,13.575022,05778,A,W007411 1210,1150,,,CI,,,,,201008,120
,AO99382,SAURIMO,,FNSA,N,WGE,WGE,S09412064,-9.689067,E020255475,20.431875,03586,A,W002483 1210,1056,,,CI,,,,,201011,123
,AO99419,NZAGI,,FNZG,N,WGE,WGE,S07425938,-7.716494,E021213073,21.358536,02431,D,W001512 1210,1028,,,CI,,,,,201008,124
,AO99460,SUMBE,,FNSU,N,WGE,WGE,S11101280,-11.170222,E013512022,13.855617,00036,D,W005288 1210,1057,,,CI,,,,,201008,125
,AQ90020,PAGO PAGO INTL,,NSTU,PPG,WGE,WGE,S14200121,-14.333669,W170424674,-170.712983,00032,A,E011337 1210,1119,Y,,CI,,,,,201102,126
,AR00006,ESTANCIA DON PANOS,,SA,SPDP,WGE,WGE,S26174510,-26.295861,W059320742,-59.535394,00262,D,W010496 1210,1315,,,PV,,,,,200811,127
,AR00010,CAMPO ARENAL,,SA,SCAL,WGE,WGE,S27042001,-27.072225,W066350985,-66.586069,07622,D,W004084 1210,1316,,,PV,,,,,201003,128
,AR00012,TERMAL,,SARS,PSP,WGE,WGE,S26452032,-26.755644,W060293587,-60.493297,00308,D,W009487 1210,1315,,,CI,,,,,200806,129
,AR00015,USHUAIA MALVINAS ARGENTINAS,,SAWH,USU,WGE,WGE,S54503584,-54.843289,W068174138,-68.294828,00102,A,E012522 1210,1668,Y,,CI,,,,,201103,130
,AR00020,VALLE DEL CONLARA,,SAOS,SRC,WGE,WGE,S32230395,-32.384431,W065110886,-65.185794,02021,D,W002507 1210,1435,Y,,CI,,,,,201103,131
,AR00078,CURUZU CUATIA,,SATU,CCA,WGE,WGE,S29463207,-29.775575,W057584417,-57.978936,00229,D,W010421 0211,1383,,,CI,,,,,201103,132
,AR00084,QUEMU QUEMU,,SA,SMUQ,WGE,WGE,S36033129,-36.058692,W063375214,-63.631150,00396,D,W002153 1210,1491,,,CI,,,,,201005,133
,AR00107,ESTANCIA LA ESTRELLA,,SA,SBLE,WGE,WGE,S37333412,-37.559478,W058395767,-58.666019,00455,D,W005514 1210,1492,,,PV,,,,,201005,134
,AR00217,MIRAMAR,,SAEM,IRA,WGE,WGE,S38133280,-38.225778,W057521554,-57.870983,00042,D,W006078 1210,1492,,,CI,,,,,201102,135
,AR00267,EL CALAFATE,,SAWC,ECA,WGE,WGE,S50164881,-50.280225,W072031137,-72.053158,00669,D,E013093 1210,1627,,,CI,,,,,201002,136
,AR00494,TOLUHIN,,SA,STHN,WGE,WGE,S54295874,-54.499650,W067102066,-67.172406,00698,D,E011525 1210,1668,,,CI,,,,,201102,137
,AR01214,OLAVARRIA,,SAZF,OLA,WGE,WGE,S36532428,-36.890078,W060125951,-60.216531,00551,D,W004533 1210,1492,,,CI,,,,,200913,138
,AR02065,BOLIVAR,,SAZI,BLR,WGE,WGE,S36111175,-36.186597,W061043447,-61.076242,00308,D,W004318 1210,1491,,,CI,,,,,201003,139
,AR02371,LA PUNTILLA,,SA,SDOP,WGE,WGE,S32574482,-32.962450,W068522586,-68.873850,02952,D,E000537 1210,1435,,,CI,,,,,201101,140
,AR02967,DR GUILLERMO EUGENIO SNOPEK,,SASQ,IAC,WGE,WGE,S22094250,-22.161806,W065341980,-65.572167,11414,D,W007030 1210,1259,,,CI,,,,,201011,141
,AR03515,SANTA TERESITA,,SAZL,STR,WGE,WGE,S36323203,-36.542231,W056431740,-56.721500,00009,D,W008097 1210,1492,,,CI,,,,,200809,142
,AR05592,CHOS MALAL,,SAHC,CHM,WGE,WGE,S37264117,-37.444769,W070131950,-70.222083,02788,D,E004350 1210,1490,,,CI,,,,,201003,143
,AR06142,GENERAL ROCA,,SAHR,GNR,WGE,WGE,S38595987,-38.999964,W067371352,-67.620422,00852,D,E003084 1210,1491,Y,,CI,,,,,200909,145
,AR06176,GENERAL URQUIZA,,SAAP,PAR,WGE,WGE,S31474114,-31.794761,W060284936,-60.480378,00242,B,W007302 1210,1382,Y,,ML,,,,,201008,146
,AR06442,TINOGASTA,,SANI,TIN,WGE,WGE,S28022718,-28.040883,W067343956,-67.577656,03968,D,W002468 1210,1381,,,PV,,,,,201005,147
,AR08227,JUJUY,,SASJ,JUJ,WGE,WGE,S24233385,-24.392736,W065055208,-65.097800,03019,A,W006383 1210,1316,Y,,CI,,,,,201008,148
,AR08294,RIO CUARTO AEROCLUB,,SA,SCUA,WGE,WGE,S33093869,-33.160747,W064201730,-64.338139,01423,D,W003134 1210,1435,,,CI,,,,,201010,149
,AR09073,RECONQUISTA,,SATR,RTA,WGE,WGE,S29123746,-29.210406,W059412718,-59.690883,00160,D,W009275 1210,1383,,,CI,,,,,201103,150
,AR10608,LONCOPUE,,SA,SLCP,WGE,WGE,S38045408,-38.081689,W070383881,-70.644114,03627,D,E005188 1210,1490,,,CI,,,,,201006,151
,US23596,J DOUGLAS BAKE MEM,55,KZ,KOCQ,WGE,WGE,N44522660,44.874056,W087543517,-87.909769,00604,D,W003555 1210,0265,Y,,PA,,,,,201012,6844
,AO48521,LUANDA 4 DE FEVEREIRO,,FNLU,LAD,WGE,WGE,S08512992,-8.858311,E013135192,13.231089,00243,B,W004403 1210,1057,Y,,ML,,,,,201103,112
,AR14963,CHAMICAL,,SACT,GOR,WGE,WGE,S30203872,-30.344089,W066173791,-66.293864,01502,D,W002515 1210,1381,,,CI,,,,,200809,154
,AR18614,DON TORCUATO,,SADD,N,WGE,WGE,S34300221,-34.500614,W058361511,-58.604197,00016,A,W006479 0105,1434,Y,,CI,,,,,200305,166
,AR23316,CANADON SECO,,SA,SA25,WGE,WGE,S46322051,-46.539031,W067334986,-67.563850,00295,D,E008094 0105,1586,,,CI,,,,,200405,173
,AR33829,MONTE CASEROS,,SARM,N,WGE,WGE,S30161892,-30.271922,W057382483,-57.640231,00174,D,W009453 0105,1383,,,CI,,,,,200402,186
,AR34889,PUERTO ROSALES,,SA,SA27,WGE,WGE,S38534954,-38.897094,W062003709,-62.010303,00016,D,W001120 0105,1491,,,ML,,,,,200405,188
,AR38330,COLONIA CATRIEL,,SA,SA30,WGE,WGE,S37543511,-37.909753,W067495130,-67.830917,01027,D,E003304 0105,1491,,,CI,,,,,200413,192
,AR15469,COMODORO PIERRESTEGUI,,SAAC,DIA,WGE,WGE,S31174905,-31.296958,W057594801,-57.996669,00112,D,W009567 1210,1383,,,CI,,,,,200913,155
,AR16072,EL TEHUELCHE,,SAVY,DRY,WGE,WGE,S42453323,-42.759231,W065060973,-65.102703,00427,D,E003097 1210,1537,,,CI,,,,,201101,158
,AR16941,CORONEL SUAREZ,,SAZC,SUZ,WGE,WGE,S37264600,-37.446111,W061532147,-61.889297,00767,D,W003020 1210,1491,,,CI,,,,,201003,159
,AR17474,VILLA REYNOLDS,,SAOR,RYD,WGE,WGE,S33433036,-33.725100,W065224135,-65.378153,01591,B,W001566 1210,1435,,,ML,,,,,200904,160
,AR17678,RIO GRANDE,,SAWE,GRA,WGE,WGE,S53463933,-53.777592,W067445810,-67.749472,00065,B,E011529 1210,1668,,,ML,,,,,201101,161
,AR17815,LOMA LA LATA,,SA,SOMA,WGE,WGE,S38244962,-38.413783,W068441462,-68.737394,01328,D,E003484 1210,1490,,,PV,,,,,201008,162
,AR18278,GOBERNADOR CASTELLO,,SAVV,VIE,WGE,WGE,S40520920,-40.869222,W063000140,-63.000389,00020,D,E000063 1210,1537,Y,,CI,,,,,201103,164
,AR18331,VEINTICINCO DE MAYO,,SA,SMAO,WGE,WGE,S37483523,-37.809786,W067393362,-67.659339,01138,D,E002290 1210,1491,,,PV,,,,,201101,165
,AR18834,SAN JUAN,,SANU,JUA,WGE,WGE,S31341729,-31.571469,W068250586,-68.418294,01958,D,W000154 1210,1381,,,CI,,,,,201103,167
