,_arpt_ident,_name,_state_prov,_icao,_faa_host_id,_loc_hdatum,_wgs_datum,_wgs_lat,_wgs_dlat,_wgs_long,_wgs_dlong,_elev,_type,_mag_var,_wac,_beacon,_second_arpt,_opr_agy,_sec_name,_sec_icao,_sec_faa,_sec_opr_agy,_cycle_date,__id
,US05373,ROLLANG FLD,28,KZ,5MS1,WGE,WGE,N32571546,32.954294,W090504536,-90.845933,00106,D,E000086 1210,0408,,,MU,,,,,200612,5937
,US74397,SHIVELY FLD,56,KZ,KSAA,WGE,WGE,N41263670,41.443528,W106493910,-106.827528,07015,D,E010060 1210,0306,Y,,PA,,,,,201006,8781
,US74399,SHOW LOW RGNL,04,KZ,KSOW,WGE,WGE,N34155570,34.265472,W110002040,-110.005667,06415,D,E010283 1210,0405,Y,,PA,,,,,201008,8782
,US05507,MC CONVILLE AIRSTRIP,06,KZ,CA42,WGE,WGE,N33383700,33.643611,W117254500,-117.429167,02600,D,E012576 0105,0404,,,PV,,,,,200405,5948
,US05512,RAEL RANCH HORSE PASTURE,35,KZ,NM68,WGE,WGE,N33481819,33.805053,W108203620,-108.343389,06950,D,E010280 0105,0405,,,PV,,,,,200109,5950
,US74408,NAPPANEE MUNI,18,KZ,KC03,WGE,WGE,N41264617,41.446158,W085560977,-85.936047,00860,D,W004503 0111,0308,Y,,PA,,,,,201103,8783
,US05573,HUGHES,55,KZ,WS96,WGE,WGE,N42371502,42.620839,W089460244,-89.767344,01010,D,W001190 0105,0308,,,PV,,,,,199909,5960
,US05623,AIR PARK SOUTH,29,KZ,K2K2,WGE,WGE,N37033409,37.059469,W093140336,-93.234267,01336,D,E002123 0105,0360,,,PV,,,,,200504,5965
,US74420,RANDOLPH AFB,48,KRND,RND,WGE,WGE,N29314406,29.528906,W098164091,-98.278031,00761,C,E004549 1210,0469,Y,,AF,,,,,201103,8784
,US05672,INDEPENDENCE MEM,29,KZ,5MO2,WGE,WGE,N39040002,39.066672,W094203082,-94.341894,00756,D,E002509 0305,0360,,,XX,,,,,200505,5971
,US05679,CURNS,55,KZ,2WN3,WGE,WGE,N44212834,44.357872,W088454098,-88.761383,00790,D,W002350 0105,0265,,,PV,,,,,200206,5974
,US74471,RUSSELLVILLE LOGAN CO,21,KZ,K4M7,WGE,WGE,N36475970,36.799917,W086483660,-86.810167,00689,D,W003172 1210,0359,Y,,PA,,,,,201102,8786
,US74521,ERIE INTL TOM RIDGE FLD,42,KERI,ERI,WGE,WGE,N42045528,42.082022,W080103438,-80.176217,00733,A,W009298 1210,0309,Y,,PA,,,,,201013,8787
,US74597,CANNON CREEK AIRPARK,12,KZ,15FL,WGE,WGE,N30091347,30.153742,W082395906,-82.666406,00125,D,W005099 1210,0466,,,PV,,,,,201005,8788
,US74663,HUMPHREYS CO,47,KZ,K0M5,WGE,WGE,N36065980,36.116611,W087441740,-87.738167,00756,A,W002289 1210,0359,Y,,PA,,,,,201013,8789
,US74672,GRENADA MUNI,28,KZ,KGNF,WGE,WGE,N33495680,33.832444,W089475340,-89.798167,00208,A,W000416 0111,0408,Y,,PA,,,,,201103,8790
,US74780,WHEELING OHIO CO,54,KZ,KHLG,WGE,WGE,N40103000,40.175000,W080384660,-80.646278,01195,A,W008384 1210,0309,Y,,PA,,,,,201010,8791
,US05407,MAYPORT NS,12,KZ,KNRB,WGE,WGE,N30232895,30.391375,W081252827,-81.424519,00015,C,W006029 1210,0466,Y,,NA,,,,,201009,5939
,US05432,EUTAW MUNI,01,KZ,K3A7,WGE,WGE,N32491350,32.820417,W087515430,-87.865083,00170,D,W001564 1210,0408,Y,,MU,,,,,201101,5940
,US05471,RANKIN,29,KZ,K78Y,WGE,WGE,N40195410,40.331694,W094500490,-94.834694,00976,D,E002269 1210,0307,,,PV,,,,,200806,5941
