1000,100
1001,100
1002,100
1003,100
1004,100
1004,105
1004,110
1004,111
1004,112
1004,115
1004,113
1004,116
1005,101
1005,106
1005,110
1005,111
1005,112
1005,115
1005,113
1005,116
1006,101
1007,101
1008,101
1009,101
1009,106
1009,110
1009,111
1009,112
1009,115
1009,113
1009,116
1010,101
1011,101
1012,101
1013,100
1014,100
1015,100
1016,100
1017,101
1018,101
1019,101
1020,101
1021,101
1022,101
1023,101
1024,101
1025,101
1026,101
1027,101
1028,101
1029,100
1029,101
1029,105
1029,106
1029,110
1029,111
1029,112
1029,115
1029,113
1029,116
1030,101
1031,101
1032,101
1033,101
1034,101
1035,101
1036,101
1037,101
1038,101
1039,100
1040,100
1040,105
1040,110
1040,111
1040,112
1040,115
1040,113
1040,116
1041,100
1042,100
1043,100
1044,100
1045,100
1046,100
1047,100
1048,100
1049,100
1050,100
1051,100
1052,100
1053,100
1054,100
1055,100
1056,100
1057,100
1058,100
1059,100
1060,100
1061,100
1061,105
1061,115
1062,100
1063,100
1064,100
1065,100
1066,100
1067,100
1068,100
1069,100
1070,100
1071,100
1072,100
1073,100
1074,100
1075,100
1076,100
1077,100
1078,100
1079,100
1080,100
1081,100
1082,100
1083,100
1084,100
1085,100
1086,100
1087,100
1088,100
1088,101
1088,105
1088,106
1088,110
1088,111
1088,112
1088,115
1088,113
1088,116
1089,100
1089,101
1089,105
1089,106
1089,110
1089,111
1089,112
1089,115
1089,113
1089,116
1090,1
1091,1
1092,100
1092,101
1093,100
1093,105
1093,110
1093,111
1093,112
1093,115
1093,113
1093,116
